Postal Code,Place Name,State,County,Latitude,Longitude
103-0013,Nihonbashiningyouchou,Toukyouto,Chuuouku,35.6857,139.7832
103-0014,Nihonbashikakigarachou,Toukyouto,Chuuouku,35.6828,139.7843
103-0015,Nihonbashihakozakichou,Toukyouto,Chuuouku,35.6801,139.7864
103-0016,Nihonbashikoamichou,Toukyouto,Chuuouku,35.6832,139.7808
103-0021,Nihonbashihongokuchou,Toukyouto,Chuuouku,35.6881,139.7708
103-0022,Nihonbashimuromachi,Toukyouto,Chuuouku,35.6871,139.7739
103-0023,Nihonbashihonchou,Toukyouto,Chuuouku,35.6884,139.7756
103-0024,Nihonbashikobunachou,Toukyouto,Chuuouku,35.6866,139.7784
103-0025,Nihonbashikayabachou,Toukyouto,Chuuouku,35.6792,139.7791
103-0026,Nihonbashikabutochou,Toukyouto,Chuuouku,35.6804,139.7772
103-0027,Nihonbashi,Toukyouto,Chuuouku,35.6818,139.7766
103-0028,Yaesu(1choume),Toukyouto,Chuuouku,35.6815,139.7707
104-0028,Yaesu(2choume),Toukyouto,Chuuouku,35.678,139.7685
104-0031,Kyoubashi,Toukyouto,Chuuouku,35.6769,139.771
104-0032,Hacchoubori,Toukyouto,Chuuouku,35.6758,139.7764
104-0033,Shinkawa,Toukyouto,Chuuouku,35.6761,139.7826
104-0041,Shintomi,Toukyouto,Chuuouku,35.6723,139.7741
104-0042,Irifune,Toukyouto,Chuuouku,35.6717,139.777
104-0043,Minato,Toukyouto,Chuuouku,35.6714,139.7796
104-0044,Akashichou,Toukyouto,Chuuouku,35.6678,139.7779
104-0045,Tsukiji,Toukyouto,Chuuouku,35.6658,139.7706
104-0046,Hamarikyuuteien,Toukyouto,Chuuouku,35.6591,139.7649
104-0051,Tsukuda,Toukyouto,Chuuouku,35.6667,139.7851
104-0052,Tsukishima,Toukyouto,Chuuouku,35.6628,139.7819
104-0053,Harumi(Tsuginobiruwonozoku),Toukyouto,Chuuouku,35.656,139.7815
104-0054,Kachidoki,Toukyouto,Chuuouku,35.6582,139.7757
104-0055,Toyomichou,Toukyouto,Chuuouku,35.6533,139.7696
104-0061,Ginza,Toukyouto,Chuuouku,35.6706,139.7649
104-6090,Harumiofisutawa^X(Chikai.Kaisoufumei),Toukyouto,Chuuouku,35.656,139.7815
104-6190,Harumiofisutawa^Y(Chikai.Kaisoufumei),Toukyouto,Chuuouku,35.656,139.7815
104-6290,Harumiofisutawa^Z(Chikai.Kaisoufumei),Toukyouto,Chuuouku,35.656,139.7815
105-0001,Toranomon(Tsuginobiruwonozoku),Toukyouto,Minatoku,35.6668,139.7474
105-0002,Atago(Tsuginobiruwonozoku),Toukyouto,Minatoku,35.6648,139.7488
105-0003,Nishishinbashi,Toukyouto,Minatoku,35.6669,139.7524
105-0004,Shinbashi,Toukyouto,Minatoku,35.6651,139.7561
105-0011,Shibakouen,Toukyouto,Minatoku,35.6576,139.7499
105-0012,Shibadaimon,Toukyouto,Minatoku,35.6571,139.7538
105-0013,Hamamatsuchou(Tsuginobiruwonozoku),Toukyouto,Minatoku,35.6568,139.7559
105-0021,Higashishinbashi(Tsuginobiruwonozoku),Toukyouto,Minatoku,35.6634,139.7592
105-0023,Shibaura(1choume),Toukyouto,Minatoku,35.6489,139.7553
105-6290,Atagoatagoguri^Nhiruzumoritawa^(Chikai.Kaisoufumei),Toukyouto,Minatoku,35.6648,139.7488
105-7101,Higashishinbashishiodomeshiteisenta^(1kai),Toukyouto,Minatoku,35.6645,139.7604
105-7190,Higashishinbashishiodomeshiteisenta^(Chikai.Kaisoufumei),Toukyouto,Minatoku,35.6634,139.7592
105-7290,Higashishinbashishiodomemedeiatawa^(Chikai.Kaisoufumei),Toukyouto,Minatoku,35.6634,139.7592
106-0031,Nishiazabu,Toukyouto,Minatoku,35.6598,139.7237
106-0032,Roppongi(Tsuginobiruwonozoku),Toukyouto,Minatoku,35.6632,139.7326
106-0041,Azabudai,Toukyouto,Minatoku,35.6605,139.7409
106-0042,Azabumamianachou,Toukyouto,Minatoku,35.6593,139.7396
106-0043,Azabunagasakachou,Toukyouto,Minatoku,35.6589,139.7377
106-0044,Higashiazabu,Toukyouto,Minatoku,35.6567,139.7415
106-0045,Azabujuuban,Toukyouto,Minatoku,35.6553,139.7353
106-0046,Motoazabu,Toukyouto,Minatoku,35.6555,139.7299
106-0047,Minamiazabu,Toukyouto,Minatoku,35.6502,139.7298
106-6090,Roppongiizumiga^Dentawa^(Chikai.Kaisoufumei),Toukyouto,Minatoku,35.6632,139.7326
107-0051,Motoakasaka,Toukyouto,Minatoku,35.6778,139.7331
107-0052,Akasaka(Tsuginobiruwonozoku),Toukyouto,Minatoku,35.6719,139.7362
107-0061,Kitaaoyama,Toukyouto,Minatoku,35.6684,139.7148
107-0062,Minamiaoyama,Toukyouto,Minatoku,35.6657,139.7178
107-6190,Akasakaakasakapa^Kubiru(Chikai.Kaisoufumei),Toukyouto,Minatoku,35.6719,139.7362
108-0022,Kaigan(3choume),Toukyouto,Minatoku,35.6415,139.7558
108-0071,Shirokanedai,Toukyouto,Minatoku,35.637,139.7256
108-0072,Shirokane,Toukyouto,Minatoku,35.6446,139.7289
108-0073,Mita,Toukyouto,Minatoku,35.6476,139.7411
108-0074,Takanawa,Toukyouto,Minatoku,35.6345,139.7359
108-0075,Kounan(Tsuginobiruwonozoku),Toukyouto,Minatoku,35.6288,139.7456
110-0001,Yanaka,Toukyouto,Taitouku,35.7248,139.7665
110-0002,Uenosakuragi,Toukyouto,Taitouku,35.7221,139.7729
110-0003,Negishi,Toukyouto,Taitouku,35.7246,139.7819
110-0004,Shitaya,Toukyouto,Taitouku,35.7221,139.7843
110-0005,Ueno,Toukyouto,Taitouku,35.7081,139.7745
110-0006,Akihabara,Toukyouto,Taitouku,35.7022,139.7749
110-0007,Uenokouen,Toukyouto,Taitouku,35.7164,139.775
110-0008,Ikenohata,Toukyouto,Taitouku,35.7154,139.7681
110-0011,Minowa,Toukyouto,Taitouku,35.7286,139.7928
110-0012,Ryuusen,Toukyouto,Taitouku,35.725,139.7909
110-0013,Iriya,Toukyouto,Taitouku,35.7206,139.7872
110-0014,Kitaueno,Toukyouto,Taitouku,35.7172,139.7838
110-0015,Higashiueno,Toukyouto,Taitouku,35.7109,139.7804
110-0016,Taitou,Toukyouto,Taitouku,35.704,139.7785
111-0021,Nihondutsumi,Toukyouto,Taitouku,35.727,139.7976
111-0022,Kiyokawa,Toukyouto,Taitouku,35.7262,139.8026
111-0023,Hashiba,Toukyouto,Taitouku,35.7254,139.8063
111-0024,Imado,Toukyouto,Taitouku,35.721,139.8042
111-0025,Higashiasakusa,Toukyouto,Taitouku,35.7233,139.8002
111-0031,Senzoku,Toukyouto,Taitouku,35.722,139.7932
111-0032,Asakusa,Toukyouto,Taitouku,35.7167,139.7966
111-0033,Hanakawado,Toukyouto,Taitouku,35.7136,139.7994
111-0034,Kaminarimon,Toukyouto,Taitouku,35.7102,139.7947
111-0035,Nishiasakusa,Toukyouto,Taitouku,35.7137,139.7905
111-0036,Matsugaya,Toukyouto,Taitouku,35.7148,139.7871
111-0041,Motoasakusa,Toukyouto,Taitouku,35.7088,139.7852
111-0042,Kotobuki,Toukyouto,Taitouku,35.7079,139.7911
111-0043,Komagata,Toukyouto,Taitouku,35.7069,139.7946
111-0051,Kuramae,Toukyouto,Taitouku,35.7037,139.7904
111-0052,Yanagibashi,Toukyouto,Taitouku,35.6977,139.788
111-0053,Asakusabashi,Toukyouto,Taitouku,35.6994,139.7843
111-0054,Torigoe,Toukyouto,Taitouku,35.7028,139.7838
111-0055,Misuji,Toukyouto,Taitouku,35.7048,139.7863
111-0056,Kojima,Toukyouto,Taitouku,35.7052,139.7831
112-0002,Koishikawa,Toukyouto,Bunkyouku,35.7141,139.7463
112-0003,Kasuga,Toukyouto,Bunkyouku,35.7094,139.7474
112-0004,Kouraku,Toukyouto,Bunkyouku,35.7049,139.7474
112-0005,Suidou,Toukyouto,Bunkyouku,35.7098,139.738
112-0006,Kohinata,Toukyouto,Bunkyouku,35.714,139.7357
112-0011,Sengoku,Toukyouto,Bunkyouku,35.7268,139.7407
112-0012,Ootsuka,Toukyouto,Bunkyouku,35.7225,139.7315
112-0013,Otowa,Toukyouto,Bunkyouku,35.7158,139.7292
112-0014,Sekiguchi,Toukyouto,Bunkyouku,35.7102,139.7297
112-0015,Mejirodai,Toukyouto,Bunkyouku,35.7166,139.7227
113-0001,Hakusan(1choume),Toukyouto,Bunkyouku,35.7184,139.7527
113-0021,Honkomagome,Toukyouto,Bunkyouku,35.7301,139.7511
113-0022,Sendagi,Toukyouto,Bunkyouku,35.7266,139.761
113-0023,Mukougaoka,Toukyouto,Bunkyouku,35.721,139.7562
113-0024,Nishikata,Toukyouto,Bunkyouku,35.7146,139.755
113-0031,Nedu,Toukyouto,Bunkyouku,35.7188,139.7647
113-0032,Yayoi,Toukyouto,Bunkyouku,35.7169,139.7626
113-0033,Hongou,Toukyouto,Bunkyouku,35.707,139.7594
113-0034,Yushima,Toukyouto,Bunkyouku,35.7059,139.7679
114-0001,Higashijuujou,Toukyouto,Kitaku,35.7659,139.7286
114-0002,Ouji,Toukyouto,Kitaku,35.7593,139.7371
114-0003,Toshima,Toukyouto,Kitaku,35.762,139.7441
114-0004,Horifune,Toukyouto,Kitaku,35.7532,139.7474
114-0005,Sakaechou,Toukyouto,Kitaku,35.7503,139.7441
114-0011,Shouwamachi,Toukyouto,Kitaku,35.7478,139.754
114-0012,Tabatashinmachi,Toukyouto,Kitaku,35.7402,139.7657
114-0013,Higashitabata,Toukyouto,Kitaku,35.7398,139.7624
114-0014,Tabata,Toukyouto,Kitaku,35.7361,139.7572
114-0015,Nakazato,Toukyouto,Kitaku,35.739,139.7511
114-0016,Kaminakazato,Toukyouto,Kitaku,35.7465,139.749
114-0021,Kishimachi,Toukyouto,Kitaku,35.7572,139.733
114-0022,Oujihonchou,Toukyouto,Kitaku,35.7542,139.732
114-0023,Takinogawa,Toukyouto,Kitaku,35.7468,139.7277
114-0024,Nishigahara,Toukyouto,Kitaku,35.7435,139.7411
114-0031,Juujounakahara,Toukyouto,Kitaku,35.7648,139.7204
114-0032,Nakajuujou,Toukyouto,Kitaku,35.7631,139.7253
114-0033,Juujoudai,Toukyouto,Kitaku,35.7567,139.7237
114-0034,Kamijuujou,Toukyouto,Kitaku,35.7619,139.7191
115-0041,Iwabuchimachi,Toukyouto,Kitaku,35.7846,139.7239
115-0042,Shimo,Toukyouto,Kitaku,35.7799,139.7304
115-0043,Kamiya,Toukyouto,Kitaku,35.7704,139.731
115-0044,Akabaneminami,Toukyouto,Kitaku,35.7761,139.7234
115-0045,Akabane,Toukyouto,Kitaku,35.7812,139.722
115-0051,Ukima,Toukyouto,Kitaku,35.789,139.6984
115-0052,Akabanekita,Toukyouto,Kitaku,35.7847,139.7091
115-0053,Akabanedai,Toukyouto,Kitaku,35.7811,139.7144
115-0054,Kirigaoka,Toukyouto,Kitaku,35.7783,139.7078
115-0055,Akabanenishi,Toukyouto,Kitaku,35.7739,139.7159
115-0056,Nishigaoka,Toukyouto,Kitaku,35.7688,139.7131
116-0001,Machiya,Toukyouto,Arakawaku,35.7477,139.7821
116-0002,Arakawa,Toukyouto,Arakawaku,35.7383,139.781
116-0003,Minamisenju,Toukyouto,Arakawaku,35.7338,139.7961
116-0011,Nishiogu,Toukyouto,Arakawaku,35.749,139.7596
116-0012,Higashiogu,Toukyouto,Arakawaku,35.7452,139.7703
116-0013,Nishinippori,Toukyouto,Arakawaku,35.7332,139.7703
116-0014,Higashinippori,Toukyouto,Arakawaku,35.7292,139.78
120-0001,Ooyata,Toukyouto,Adachiku,35.7806,139.8421
120-0002,Nakagawa,Toukyouto,Adachiku,35.7704,139.8518
120-0003,Touwa,Toukyouto,Adachiku,35.7709,139.84
120-0004,Higashiayase,Toukyouto,Adachiku,35.7668,139.8325
120-0005,Ayase,Toukyouto,Adachiku,35.7644,139.8255
120-0006,Yanaka,Toukyouto,Adachiku,35.7771,139.8334
120-0013,Koudou,Toukyouto,Adachiku,35.7684,139.814
120-0014,Nishiayase,Toukyouto,Adachiku,35.7642,139.8158
120-0015,Adachi,Toukyouto,Adachiku,35.7634,139.8079
120-0021,Hinodechou,Toukyouto,Adachiku,35.7508,139.8117
120-0022,Yanagihara,Toukyouto,Adachiku,35.7472,139.8128
120-0023,Senjuakebonochou,Toukyouto,Adachiku,35.7432,139.8141
120-0024,Senjusekiyachou,Toukyouto,Adachiku,35.742,139.8052
120-0025,Senjuazuma,Toukyouto,Adachiku,35.7452,139.8062
120-0026,Senjuasahichou,Toukyouto,Adachiku,35.7491,139.8074
120-0031,Senjuookawachou,Toukyouto,Adachiku,35.7562,139.798
120-0032,Senjuyanagichou,Toukyouto,Adachiku,35.7541,139.7965
120-0033,Senjukotobukichou,Toukyouto,Adachiku,35.7533,139.7993
120-0034,Senju,Toukyouto,Adachiku,35.7513,139.8028
120-0035,Senjunakaichou,Toukyouto,Adachiku,35.7498,139.798
120-0036,Senjunakachou,Toukyouto,Adachiku,35.7454,139.801
120-0037,Senjukawarachou,Toukyouto,Adachiku,35.7428,139.799
120-0038,Senjuhashidochou,Toukyouto,Adachiku,35.7407,139.7989
120-0041,Senjumotomachi,Toukyouto,Adachiku,35.7548,139.7929
120-0042,Senjutatsutachou,Toukyouto,Adachiku,35.7518,139.7953
120-0043,Senjumiyamotochou,Toukyouto,Adachiku,35.747,139.7963
120-0044,Senjumidorichou,Toukyouto,Adachiku,35.746,139.7921
120-0045,Senjusakuragi,Toukyouto,Adachiku,35.7534,139.7905
120-0046,Odai,Toukyouto,Adachiku,35.7577,139.7608
120-0047,Miyagi,Toukyouto,Adachiku,35.7596,139.7558
121-0051,Shinmei,Toukyouto,Adachiku,35.7952,139.8342
121-0052,Mutsuki,Toukyouto,Adachiku,35.7945,139.8405
121-0053,Sano,Toukyouto,Adachiku,35.7872,139.8403
121-0054,Tatsunuma,Toukyouto,Adachiku,35.7883,139.8349
121-0055,Kahei,Toukyouto,Adachiku,35.7785,139.8278
121-0056,Kitakaheichou,Toukyouto,Adachiku,35.7843,139.8289
121-0057,Shinmeiminami,Toukyouto,Adachiku,35.7884,139.8305
121-0061,Hanahata,Toukyouto,Adachiku,35.8044,139.8131
121-0062,Minamihanahata,Toukyouto,Adachiku,35.7925,139.8206
121-0063,Higashihokima,Toukyouto,Adachiku,35.7915,139.8135
121-0064,Hokima,Toukyouto,Adachiku,35.7965,139.8059
121-0071,Higashirokugatsuchou,Toukyouto,Adachiku,35.7875,139.8053
121-0072,Hodukachou,Toukyouto,Adachiku,35.7864,139.8128
121-0073,Rokuchou,Toukyouto,Adachiku,35.7843,139.8206
121-0074,Nishikahei,Toukyouto,Adachiku,35.78,139.8214
121-0075,Hitotsuya,Toukyouto,Adachiku,35.7817,139.8127
121-0076,Hirano,Toukyouto,Adachiku,35.7825,139.8063
121-0801,Higashiikou,Toukyouto,Adachiku,35.8032,139.7883
121-0807,Ikouhonchou,Toukyouto,Adachiku,35.7998,139.7878
121-0812,Nishihokima,Toukyouto,Adachiku,35.8003,139.7996
121-0813,Takenotsuka,Toukyouto,Adachiku,35.7934,139.7951
121-0814,Rokugatsu,Toukyouto,Adachiku,35.7867,139.7959
121-0815,Shimane,Toukyouto,Adachiku,35.7815,139.7975
121-0816,Umejima,Toukyouto,Adachiku,35.7752,139.7982
121-0822,Nishitakenotsuka,Toukyouto,Adachiku,35.7946,139.7893
121-0823,Ikou,Toukyouto,Adachiku,35.7946,139.7838
121-0824,Nishiikou,Toukyouto,Adachiku,35.7961,139.7773
121-0825,Nishiikouchou,Toukyouto,Adachiku,35.7937,139.7728
121-0831,Toneri,Toukyouto,Adachiku,35.8111,139.7701
121-0832,Kodiyahonchou,Toukyouto,Adachiku,35.8055,139.7769
121-0833,Kodiya,Toukyouto,Adachiku,35.798,139.7732
121-0834,Iriyamachi,Toukyouto,Adachiku,35.8015,139.7707
121-0835,Tonerimachi,Toukyouto,Adachiku,35.7771,139.7976
121-0836,Iriya,Toukyouto,Adachiku,35.8055,139.7611
121-0837,Tonerikouen,Toukyouto,Adachiku,35.7982,139.769
123-0841,Nishiarai,Toukyouto,Adachiku,35.7836,139.7776
123-0842,Kurihara,Toukyouto,Adachiku,35.7822,139.7871
123-0843,Nishiaraisakaechou,Toukyouto,Adachiku,35.7761,139.7874
123-0844,Okino,Toukyouto,Adachiku,35.7691,139.7797
123-0845,Nishiaraihonchou,Toukyouto,Adachiku,35.7748,139.7782
123-0851,Umeda,Toukyouto,Adachiku,35.7668,139.7976
123-0852,Sekibara,Toukyouto,Adachiku,35.7683,139.789
123-0853,Motoki,Toukyouto,Adachiku,35.7645,139.7854
123-0854,Motokihigashimachi,Toukyouto,Adachiku,35.7661,139.7824
123-0855,Motokiminamimachi,Toukyouto,Adachiku,35.7623,139.7823
123-0856,Motokinishimachi,Toukyouto,Adachiku,35.7616,139.7794
123-0857,Motokikitamachi,Toukyouto,Adachiku,35.7653,139.7796
123-0861,Kaga,Toukyouto,Adachiku,35.7904,139.7593
123-0862,Saranuma,Toukyouto,Adachiku,35.7928,139.7653
123-0863,Yazaike,Toukyouto,Adachiku,35.7864,139.769
123-0864,Shikahama,Toukyouto,Adachiku,35.7833,139.7562
123-0865,Shinden,Toukyouto,Adachiku,35.7723,139.742
123-0871,Tsubaki,Toukyouto,Adachiku,35.7793,139.7598
123-0872,Kouhoku,Toukyouto,Adachiku,35.7742,139.7648
123-0873,Ougi,Toukyouto,Adachiku,35.765,139.7726
123-0874,Horinouchi,Toukyouto,Adachiku,35.7754,139.7566
124-0001,Kosuge,Toukyouto,Katsushikaku,35.7554,139.8234
124-0003,Ohanadiyaya,Toukyouto,Katsushikaku,35.751,139.8403
124-0004,Higashihorikiri,Toukyouto,Katsushikaku,35.752,139.8359
124-0005,Takaramachi,Toukyouto,Katsushikaku,35.7446,139.8369
124-0006,Horikiri,Toukyouto,Katsushikaku,35.7477,139.8291
124-0011,Yotsugi,Toukyouto,Katsushikaku,35.7373,139.8356
124-0012,Tateishi,Toukyouto,Katsushikaku,35.7402,139.8483
124-0013,Higashitateishi,Toukyouto,Katsushikaku,35.7341,139.8481
124-0014,Higashiyotsugi,Toukyouto,Katsushikaku,35.7308,139.8403
124-0021,Hosoda,Toukyouto,Katsushikaku,35.7411,139.8718
124-0022,Okudo,Toukyouto,Katsushikaku,35.7329,139.8631
124-0023,Higashishinkoiwa,Toukyouto,Katsushikaku,35.7245,139.8582
124-0024,Shinkoiwa,Toukyouto,Katsushikaku,35.7163,139.862
124-0025,Nishishinkoiwa,Toukyouto,Katsushikaku,35.7216,139.8504
125-0031,Nishimizumoto,Toukyouto,Katsushikaku,35.7875,139.8512
125-0032,Mizumoto,Toukyouto,Katsushikaku,35.7853,139.86
125-0033,Higashimizumoto,Toukyouto,Katsushikaku,35.784,139.8673
125-0034,Mizumotokouen,Toukyouto,Katsushikaku,35.7893,139.8684
125-0035,Minamimizumoto,Toukyouto,Katsushikaku,35.7777,139.8599
125-0041,Higashikanamachi,Toukyouto,Katsushikaku,35.7742,139.8753
125-0042,Kanamachi,Toukyouto,Katsushikaku,35.7662,139.87
125-0043,Kanamachijousuijou,Toukyouto,Katsushikaku,35.7637,139.8753
