title,date,category,venue,venue_url,address,access_url,area,closest_station,advance_price,door_price
"Takashi Ueno (Tenniscoats) & Takuma Makino guitar duo, core of bells, Toko Arai SOLO (inside piano)",2011-07-07,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2000yen,
I.S.O. (Otomo Yoshihide / Sachiko M / Yoshimitsu Ichiraku),2011-07-07,Experimental,Asahi Art Square,http://asahiartsquare.org,"Super Dry Hall 4F, Azumabashi 1-23-1, Sumida-ku",,Asakusa,"Asakusa, Honjo-Azumabashi",,Free
"OTODAMA SEA STUDIO 2011: DE DE MOUSE, Jazzin Park, DAISHI DANCE, 森田昌典, more",2011-06-26,Festival,Otodama Sea Studio,http://www.otodama-beach.com/,Miurakaigan,,Zushi,Miurakaigan,3500,4000
"DENPA 2011: DE DE MOUSE, Saolilith, KEIZOmachine!, nisennenmondai, KASHIWA Daisuke...",2011-06-26,Mixed Genre,Axxcis,http://www.axxcis.net,"Yuzawa Bldg 3-26-25, Shibuya-ku",http://www.axxcis.net/about/index.html,Shibuya,,,￥3500 (1drink別)
"PROGRESSIVE FOrM 10th Anniversary: agraph, Ametsub, AOKI takamasa, Calm, Riow Arai...",2011-06-26,Electronic,Liquidroom,http://www.liquidroom.net,"3-16-6 Higashi, Shibuya-ku, Tokyo",http://www.liquidroom.net/access/,Ebisu,Ebisu,"￥3,500 W/Flyer, PrintOut￥4,000","￥4,500"
"OBAKE YASHIKI: Jahiliyyah, Sachiko, 今ここ, Axonox, Ecchi Shoushin vs N'toko",2011-05-29,Disco-punk,Gari Gari,http://www.cinemabokan.com,"Tobita Bldg B1, Daizawa 2-45-9 , Setagaya-ku",,Ikenoue,Ikenoue,1000¥,1000¥
LAZYgunsBRISKY,2011-06-26,Rock,WWW,http://www-shibuya.jp/index.html,東京都渋谷区宇田川町13-17 ライズビル地下,http://www-shibuya.jp/access/,Shibuya,Shibuya,2500,3000
"DODDODO, oshiripenpenz, チッツ, akamar22!, DJ ごはん",2011-05-12,Other,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2000,2500
Fishmans,2011-05-03,Dub,Hibiya Open Air Concert Hall,http://hibiya-kokaido.com,"Hibiya-koen 1-3, Chiyoda-ku",,Hibiya,"Hibiya, Kasumigaseki, Yurakucho","Seats Y6800, standing Y5000",
"RAINBOW DISCO CLUB: PRINS THOMAS, DJ NATURE A.K.A MILO, CARIBOU, ITALOBOYZ, more",2011-05-03,Festival,,,,,,,"4,500円",
TOKYO M.A.P.S @ Roppongi Hills Arena,2011-05-03,Festival,,,,,,,,
Keiji Haino,2011-05-03,Unclassifiable,Showboat,http://showboat1993.wix.com/showboat1993,"Oak Hill Koenji B1F, 3-17-2 Koenji Kita",,Koenji,Koenji,2700,3000
"Sete Star Sept, L'eclipse Nue, O.G.D., Orphan, Molester, Dreams Come True, うしろ前さかさ族",2011-05-03,Grindcore,Suizokkan,http://naks.biz/suizokukan/,"1-10-7-B1 Hyakuninchou,Shinjuku-ku, Tokyo",http://naks.biz/suizokukan/map/index.html,Shin-Okubo,Near Shin-Okubo station (JR Yamanote Line),1000,1000
"FREE THROW: SEBASTIAN X, rega, sleepy.ab, the chef cooks me BAND, Turntable Films...",2011-05-03,Indie,Marz,http://www.marz.jp,"Kabukicho 2-45-1 B1, Shinjuku-ku",,Shinjuku,Shinjuku,2500 + 1 Drink,
"AKBK+FACIALMESS, BAREBONES, BLACK GANION, FROM HELL, STUPID BABIES GO MAD",2011-05-03,Grindcore,Earthdom,http://www1.odn.ne.jp/shinjuku-dom/index.html/dom.html,"Lisbon Bldg B1F, 3-32-3 Okubo, Shinjuku-ku",,Okubo,"Okubo, Shin-Okubo",2000yen,
"Toyota Michinori & ザーメンズ, Kazuki Tomokawa, Clitoric Ris",2011-05-03,Other,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2800yen,3000yen
WILD MOOD SWINGS #4 - free Golden Week DJ party,2011-05-03,All Mix,Rock no Cocoro,http://www.rocknococoro.com,"Park Bldg. 3F 10-1 Udagawacho, Shibuya",http://www.rocknococoro.com/eaccess.html,Shibuya,Shibuya,,Free!
TOKYO M.A.P.S @ Roppongi Hills Arena,2011-05-04,Festival,,,,,,,,
"HIBIKI ROCK FEST 11: MAPS & ATLASES, MO'SOME TONEBENDER, mudy on the sakuban, more",2011-05-04,Festival,Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,3900,4500
"FREE THROW: avengers in sci-fi, wooderd chiarie, LITE, DJs",2011-05-04,Indie,Marz,http://www.marz.jp,"Kabukicho 2-45-1 B1, Shinjuku-ku",,Shinjuku,Shinjuku,2500 + 1 Drink,
"NINGEN OK, fukuro, kuchusen, Taiheiyou Shiranui Gakudan, YOLZ IN THE SKY",2011-05-04,Alternative,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2300,2800
Mikami Kan,2011-05-04,Psych-Folk,Muryoku Muzenji,http://blog.livedoor.jp/muzenji/,"3-67-1 Koenji Minami, Suginami-ku",,Koenji,Koenji,,1ドリンク付2000円
"""May the 4th Be with You!"" (Star Wars-themed Earthquake/Tsunami benefit)",2011-05-04,Party,Beat Cafe,https://www.facebook.com/beatcafe,"2-13-5-B1, Dogenzaka, Shibuya-ku",,Shibuya,"Shibuya, Shinsen",,1000円 (all money to charity)
"Ushioda Yuichi, Takeyari Syunta, Pagtas, Miminokoto",2011-05-04,Psych-Folk,Penguin House,http://penguinhouse.net,3-24-8 Kita Koenji,http://penguinhouse.net/access,Koenji,Koenji,2200 yen,2500 yen
"HIBIKI ROCK FEST 11: cinema staff, HINTO, NEDRY, te', POLYSICS, SANDRO PERRI, more",2011-05-05,Festival,Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,3900,4500
"13complex 15: Makino Eri, 井手健介とユリシーズ, Paw Paw, speaker, matocotoshuco, 10RI, くきよしのぶ",2011-05-05,Indie,Mona Records,http://www.mona-records.com,"Ina Building, 2F 2-13-5 Kitazawa",http://www.mona-records.com/access.php,Shimokitazawa,Shimokitazawa,,
"ROCK市ROCK座 vol.2: M.O.T.O, THE THUNDERROADS, ROCKBOTTOM, PARACHUTE, RANGSTEEN, more",2011-05-05,Rock,Fever,http://www.fever-popo.com,"Shin-daita building 1F, 1-1-14 Hanegi, Setagaya-ku",http://www.fever-popo.com/access/,Shimokitazawa,Shindaita,2500yen,2800yen
"MaNHATTAN, DE DE MOUSE, NISENNENMONDAI, MU-STAR GROUP",2011-05-05,Mixed Genre,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2500yen,3000yen
Yokohama Impro Musica Fes - Spring 2011,2011-05-05,Improvised,Airegin,http://goo.gl/gtr9U9,"5-60 Sumiyoshi-cho, Naka-ku, Yokohama, Kanagawa",,Yokohama,"Bashamichi, Kannai, Sakuragicho",,2500+drink
"Otogibanashi, cero, The Insect Kids, Lantern Parade",2011-05-06,Indie,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2300yen,2800yen
"HEAVY METAL GLUE, Will You Remember, variant face",2011-05-06,Hard Rock,Earthdom,http://www1.odn.ne.jp/shinjuku-dom/index.html/dom.html,"Lisbon Bldg B1F, 3-32-3 Okubo, Shinjuku-ku",,Okubo,"Okubo, Shin-Okubo",1500yen+1Drink,1800yen+1Drink
"Frenesi, Kaseki Cider, onnacodomo",2011-05-06,Pop,Astro Hall,http://www.astro-hall.com,"New Wave Harajuku, B1, 4-32-12 Jingumae",http://www.astro-hall.com/access/,Harajuku,"Harajuku, Meijijingumae, Omotesando",,3000yen w/ drink
"FASHION CRISIS: Ntoko, Kaki, DJs",2011-05-06,Mixed Genre,Knock (Koenji),http://knockkoenji.com,Koenji Minami 3-48-6 B1F,http://knockkoenji.com/access/,Koenji,Koenji,FREE,FREE
John Zorns COBRA with Koichi Makigami and guests,2011-05-06,Other,La Mama,http://www.lamama.net,"Primera Dogenzaka B1, 1-15-3 Dogenzaka, Shibuya-ku",,Shibuya,,3000,3500
From England To Me! with Guest DJ Konishi Yasuharu,2011-05-06,DJ,OTO,http://shibuya-oto.com/,"Shibuya 3-18-7 5F, Shibuya-ku, Tokyo",http://shibuya-oto.com/access/,Shibuya,Shibuya,,
"SPONTANIA, DEXPISTOLS, DJ DIRT FLARE, GUNS’N’DOBIEZ, DJ HOKUTO, DJ KYOKO, DJ SATOSHI",2011-05-06,Electro,Unit,http://www.unit-tokyo.com,"Za House Buil. 1-34-17 Ebisu-nishi, Shibuya-ku",,Daikanyama,"Daikanyama, Nakameguro, Ebisu","3,000yen","W.FLYER 3,000yen／DOOR 3,500yen"
"the mornings, camellia, mothercoat, imi, toitoitoi, uhnellys",2011-05-07,Indie,K's Dream,http://www.ks-dream.com,"Inage-Higashi 3-6-14 B1, Inage-ku, Chiba",,Inage,"Inage, Keisei-Inage",,
"FREAKS MUSIC FESTIVAL '11: DJ HARVEY, LOGIC SYSTEM, WASHED OUT, EYE, RADIO SLAVE...",2011-05-07,Festival,,,,,,,"￥6,300","￥7,500"
"KIRIHITO, PANICSMILE, BOSSSTON CRUIZING MANIA, GYOKO",2011-05-07,Alternative,Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,2300,2800
"DMBQ, Nisennenmondai",2011-05-07,Psychedelic,Fever,http://www.fever-popo.com,"Shin-daita building 1F, 1-1-14 Hanegi, Setagaya-ku",http://www.fever-popo.com/access/,Shimokitazawa,Shindaita,2500yen,3000yen
NAKATSUKA Takeshi,2011-05-07,Dance,Jicoo Floating Bar,http://www.jicoofloatingbar.com/,"Hinode port, Odaiba port",,Tokyo Bay,"Hinode, Hamamatsucho, Daimon",,2500yen
"Playfight, Remedy's Library, Sawas Phool, Stuart O'Connor",2011-05-07,Art,Golden Egg,http://g-egg.info,"#27-TOKYO-Build-B2, 1-16-10 Kabukicho, Shinjuku",http://g-egg.info/accsess.html,Shinjuku,Shinjuku,NA,1000 yen
Neet Spirit Vol. 4 - A 90s event,2011-05-07,All Mix,Rock no Cocoro,http://www.rocknococoro.com,"Park Bldg. 3F 10-1 Udagawacho, Shibuya",http://www.rocknococoro.com/eaccess.html,Shibuya,Shibuya,,NO CHARGE
"soupjazz vol2: Zycos, Guru host+安藤暁彦, 菊池美佐子＋藤原大輔",2011-05-07,Jazz,Soup,http://ochiaisoup.tumblr.com/,"B1F Mitaka Building 3-9-10 Kami-Ochiai,Shinjuku-ku",,Ochiai,"Ochiai, Higashi-Nakano, Nakai",1500,1500
SHORT PANTS PARTY,2011-05-07,Party,Trump Room,https://www.facebook.com/Trump-Room-161911070487799,"#301, 1-12-14 Jinnan, Shibuya-ku",,Shibuya,Shibuya,,2500 or 1000 w/short pants
"KAITO A.K.A. HIROSHI WATANABE, DJ WADA, SHIN NISHIMURA, FOOG, LITTLE NOBODY...",2011-05-07,Dance,Unit,http://www.unit-tokyo.com,"Za House Buil. 1-34-17 Ebisu-nishi, Shibuya-ku",,Daikanyama,"Daikanyama, Nakameguro, Ebisu",3000yen,"W.FLYER Y3,000/DOOR Y3,500"
"The oyster & the flying fish, 9000Sonics, POPLAND OFF GALLERY, Dirty Blue Jean",2011-05-08,Rock,20000 Den-atsu (二万電圧),http://www.den-atsu.com/,"L-GRAZIA B1, 1-7-23 Koenji Minami, Suginami-ku",http://den-atsu.com/?page_id=17,Higashi-Koenji,Higashi-Koenji,19:00,1800
Musicians for Earthquake & Tsunami Relief Vol.1,2011-05-08,All Mix,What the Dickens,http://www.whatthedickens.jp,"Roob6 Bldg 4F, 1-13-3 Ebisu-Nishi",,Ebisu,Ebisu,Free,Free
"Owarikara, YOMOYA, the mornings",2011-05-08,Indie-Rock,Motion,http://motion-web.jp,"5F 2-45-2 Kabukicho, Shinjuku-ku",,Shinjuku,"Shinjuku, Seibu-Shinjuku",2000,2500
Sally Soul Stew,2011-05-08,Psychedelic,Red Cloth,http://sputniklab.com/redcloth,"DS Shinjuku Bld. B1, 6-28-12 Shinjuku",http://www.sputniklab.com/redcloth/access.html,Shinjuku,"Shinjuku, Higashi-Shinjuku",3000yen + drink,3500yen + drink
"ACO, eli",2011-05-08,Pop,Astro Hall,http://www.astro-hall.com,"New Wave Harajuku, B1, 4-32-12 Jingumae",http://www.astro-hall.com/access/,Harajuku,"Harajuku, Meijijingumae, Omotesando","￥3,900 (D別)",
BEADY EYE,2011-05-09,Rock,Zepp Tokyo,http://www.zepp.co.jp,"Palette Town, 1 Aomi, Koto-ku, Tokyo",http://hall.zepp.co.jp/tokyo/access.html,Aomi,Aomi,6500yen,
BEADY EYE,2011-05-10,Rock,Zepp Tokyo,http://www.zepp.co.jp,"Palette Town, 1 Aomi, Koto-ku, Tokyo",http://hall.zepp.co.jp/tokyo/access.html,Aomi,Aomi,6500yen,
"Petrolz, d.v.d",2011-05-10,Other,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,3000yen,3500yen
"Test Tone 69: Abarenbow Teng, Sajjanu, Hununhum, dbqp (lighting)",2011-05-10,Festival,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,Free!,Free!
"RACHEL, MARBLE SHEEP, swaraga, SPERMEN, CELEBS",2011-05-11,Rock,Earthdom,http://www1.odn.ne.jp/shinjuku-dom/index.html/dom.html,"Lisbon Bldg B1F, 3-32-3 Okubo, Shinjuku-ku",,Okubo,"Okubo, Shin-Okubo",ask to venue,ask to venue
"Yoshihiro Kawasome, Kitamura Sakiko, Tomonori Honma",2011-05-11,Experimental,Enban,http://enbanschedule.blogspot.jp,2F 3-59-11 Koenji-Minami,,Koenji,Koenji,,￥1500
"Tenniscoats + Pardon Kimura, Tetsuya Umeda, DJ A.K.I.",2011-05-11,Experimental,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2000円,2500円
mori-shige (cello) + Cal Lyall (guitar/electronics) duo,2011-05-12,Improvised,Otoya-Kintoki,http://www2.u-netsurf.ne.jp/~otokin,"Suginami-ku Nishi, Ogikita 2-2-14 B1",,Nishi-Ogikubo,Nishi-Ogikubo,2300 yen,2300 yen
BEADY EYE,2011-05-12,Rock,Zepp Tokyo,http://www.zepp.co.jp,"Palette Town, 1 Aomi, Koto-ku, Tokyo",http://hall.zepp.co.jp/tokyo/access.html,Aomi,Aomi,6500yen,
"FUKUKOU LIVE TOHOKU x TOKYO: Takuma Watanabe (COMBOPIANO), 2up, kuruucrew, more",2011-05-12,Mixed Genre,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,,2000yen
deadmau5 (CANCELLED),2011-05-12,Electronic,Studio Coast,http://www.studio-coast.com,"2-2-10 Shin-Kiba, Koto-ku",,Shin-Kiba,,6000yen,
ZUI + Marcos Fernandes,2011-05-13,Jazz,Blue Flame,http://blueflame-jp.com/main.html,"4-14-2 Minami Azabu, Minato-ku, Tokyo",http://blueflame-jp.com/map/index.html,Hiroo,Hiroo,,
Open Reel Ensemble,2011-05-13,Electronic,WWW,http://www-shibuya.jp/index.html,東京都渋谷区宇田川町13-17 ライズビル地下,http://www-shibuya.jp/access/,Shibuya,Shibuya,,
"KILLER BONG + HAIR STYLISTICS, ORGANIZATION + yudayajazz, CHERRYBOY FUNCTION",2011-05-13,Other,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2500,2800
"kinoco hotel, M.J.Q, 女王蜂",2011-05-13,Garage Rock,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,3000,3500
"tacobonds, worst taste",2011-05-13,"Indie-Rock,  ",Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,2000,2300
"PUNKS WERE MADE BEFORE SOUNDS: REDNECKS, DEEP SLAUTER, MELT-BANANA, SUPER DUMB, more",2011-05-14,Festival,Suijo Ongakudou,http://www.kensetsu.metro.tokyo.jp/toubuk/ueno/index_top.html,5ban 20 go Ueno Park Taito-ku,,Ueno,,,1500円
"Y. Sunahara, □□□, Shuta Hasumuma Team, Oorutaichi, Tamaki ROY, DORIAN, L?K?O, more",2011-05-14,Electronic,Womb,http://www.womb.co.jp,"Studio Arias, 2-16 Maruyama-cho, Shibuya",,Shibuya,Shibuya,3300,4000
"ゲシュタルト人間3: Emily likes tennis, spinoza, vinegarmusic, berlin penguin record, more",2011-05-14,Alternative,Sound Studio DOM,http://soundstudiodom.web.fc2.com/,"3F Koenjiminami 4-25-7, Suginami-ku",,Koenji,Koenji,￥500 (including１drink),￥500 (including１drink)
PUFFY,2011-05-14,Pop-punk,Hibiya Open Air Concert Hall,http://hibiya-kokaido.com,"Hibiya-koen 1-3, Chiyoda-ku",,Hibiya,"Hibiya, Kasumigaseki, Yurakucho","5,500yen",
"MO'SOME TONEBENDER, GEKITETSU",2011-05-14,Rock,Club Quattro,http://www.club-quattro.com,"5F Parco Quattro, 32-13 Udagawa-cho",http://www.club-quattro.com/shibuya/access/,Shibuya,Shibuya,3500yen,
"The Complaints Department, ジェット風船, ARISA, BAMB’S LAND, NOGIKU, more",2011-05-14,Power Pop,O-West,http://www.shibuya-o.com,"2F 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2500 + 1 Drink,3000 + 1 Drink
"HALFBY, NEW HOUSE, Soichiro Tanaka, Ryota Tanaka, HANDSOMEBOY TECHNIQUE...",2011-05-14,All Mix,Unit,http://www.unit-tokyo.com,"Za House Buil. 1-34-17 Ebisu-nishi, Shibuya-ku",,Daikanyama,"Daikanyama, Nakameguro, Ebisu",3000yen,3500yen
"Could it Be in Dreams: lost in found, kooreruongaku, the watanabes, herajika, your last chicken...",2011-05-15,Indie,Nine Spices,http://9spices.rinky.info,"HANROKU Bldg B1, Kabukicho 2-1-2, Shinjuku-ku",http://9spices.rinky.info/access.html,Shinjuku,"Higashi-Shinjuku, Shinjuku-sanchome, Shinjuku",1000yen,1000yen
"primichiv, Ueno Takashi, Minami Ryohei, Iwasaki Hirosi, pagtas, TABATA, Odajima Hitos",2011-05-15,Festival,Bonobo,http://bonobo.jp/,2-23-4 Jingumae Shibuya-ku Tokyo,http://bonobo.jp/map.php,Harajuku,"Harajuku, Meijijingumae, Sendagaya, Gaienmae",,1000+drink order
"balance: DJ L?K?O vs DJ sniff, Daisuke Ishida, Ken FURUDATE, DJ nobuki nishiyama",2011-05-15,Experimental,Soup,http://ochiaisoup.tumblr.com/,"B1F Mitaka Building 3-9-10 Kami-Ochiai,Shinjuku-ku",,Ochiai,"Ochiai, Higashi-Nakano, Nakai",1500,1500
"THE DEAD PAN SPEAKERS, younGSounds, SUPERDUMB, KURUUCREW, GROUNDCOVER.",2011-05-15,Psychedelic,Three,http://www.toos.co.jp/3/index.html,"Kitazawa 5-18-1 B1F, Setagaya-ku, Tokyo",http://www.toos.co.jp/3/3_access.html,Shimokitazawa,"Shimokitazawa, Setagaya-Daita",2000yen,2500yen
"SHIGOKUSATSU a.k.a. Abisyeikah + ONIICHIN, ZAKUSKULL, FROZEN PANTY & HIS DIRTY HEARTS, AKAINU SHIMAI",2011-05-15,WTF?,Explosion,http://www.kagurazaka-explosion.com,"B1F 112 Yaraicho, Shinjuku, Tokyo",http://www.kagurazaka-explosion.com/access/,Kagurazaka,Kagurazaka,0 yen +1drink order,0 yen +1drink order
"Dachambo, Arakajime Kimerareta Koibitotachi e, K.E.I. (VOVIVAV)",2011-05-15,Jam,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2000,2500
"Back Porch Basement: Tenniscoats+ Jiro Imai, New Residential Quarters (NRQ)",2011-05-17,Experimental,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,2000,2500
THE DRUMS,2011-05-18,Indie,Club Quattro,http://www.club-quattro.com,"5F Parco Quattro, 32-13 Udagawa-cho",http://www.club-quattro.com/shibuya/access/,Shibuya,Shibuya,5500yen,
"Jonny (Norman Blake & Euros Childs), Hideki Kaji, Hoff Dylan",2011-05-18,Indie-Pop,Astro Hall,http://www.astro-hall.com,"New Wave Harajuku, B1, 4-32-12 Jingumae",http://www.astro-hall.com/access/,Harajuku,"Harajuku, Meijijingumae, Omotesando",5000yen,
"Babel (Yuichi Kudoh, Hikaru Iwakawa, Yutaka Kaido, Marcos Fernandes",2011-05-18,Improvised,Airegin,http://goo.gl/gtr9U9,"5-60 Sumiyoshi-cho, Naka-ku, Yokohama, Kanagawa",,Yokohama,"Bashamichi, Kannai, Sakuragicho",,2500+drink
"NACANO, milla and the geeks, Zews, POSTMAN GROUP (MontBlanc), more",2011-05-18,Indie,Three,http://www.toos.co.jp/3/index.html,"Kitazawa 5-18-1 B1F, Setagaya-ku, Tokyo",http://www.toos.co.jp/3/3_access.html,Shimokitazawa,"Shimokitazawa, Setagaya-Daita",,1000円
THE DRUMS,2011-05-19,Indie,DUO Music Exchange,http://www.duomusicexchange.com,"2-14-8 Dogenzaka, Shibuya-ku",,Shibuya,Shibuya,5500yen,
"LOTUS, DE DE MOUSE",2011-05-19,Electronic,WWW,http://www-shibuya.jp/index.html,東京都渋谷区宇田川町13-17 ライズビル地下,http://www-shibuya.jp/access/,Shibuya,Shibuya,4000yen,4500yen
"bahAMaba, The Depaysement, RENT:A*CAR, HUH, Kumanbachi (aka Praha Depart)",2011-05-19,Experimental,Goodman,http://www.clubgoodman.com,"A.S Building B1F, 55, Kanda-Sakumagashi, Chiyodaku",http://www.clubgoodman.com/access.html,Akihabara,Akihabara,1500,1800
Morgan's Organ vol.81,2011-05-19,Improvised,Super Deluxe,http://www.super-deluxe.com,"B1F 3-1-25 Nishi Azabu, Minato-ku",https://www.super-deluxe.com/map/,Roppongi,Roppongi,Free,door 1000円 (w/free download)
"MARK, Katan Hiviya, Tonchi",2011-05-19,Acoustic,Enban,http://enbanschedule.blogspot.jp,2F 3-59-11 Koenji-Minami,,Koenji,Koenji,,1500円
"Metro-Ongen, [lifter], monokuromirai, runrunruns",2011-05-19,Indie-Rock,Zher The Zoo,http://www.ukproject.com/zherthezoo,"Yoyogi Park Bldg B1F, Yoyogi 1-30-1",,Yoyogi,,2000,2300
"Android Beach Party, Hot Cap",2011-05-20,Garage Rock,Pink Cow,http://www.thepinkcow.com,Minato-ku Akasaka 2-7-5 Bright Bldg. B1,,Akasaka,"Akasaka-mitsuke, Akasaka, Tameike-sanno",,
"THE GO! TEAM, DE DE MOUSE, RIDDIM SAUNTER",2011-05-20,Indie,Liquidroom,http://www.liquidroom.net,"3-16-6 Higashi, Shibuya-ku, Tokyo",http://www.liquidroom.net/access/,Ebisu,Ebisu,5500yen,
"Vanilla Beans, Candles, Cutie Pai, The Lady Spade, nuxx",2011-05-20,Electro,Star Lounge,http://www.starlounge.jp/,"4-7, Udagawa-cho, Shibuya-ku",,Shibuya,,2500yen + drink,3000yen + drink
raKuraKu,2011-05-20,Folk,Lighthouse,http://www.lighthouse-tokyo.com,"Kayo-Kokubunji Green Heights 1F, 2-15-6 Minami-cho",,Kokubunji,Kokubunji,Free,Free
"aio, phenomenon, prantron, sore demo sekai ga tsudukunara",2011-05-20,Pop,Zher The Zoo,http://www.ukproject.com/zherthezoo,"Yoyogi Park Bldg B1F, Yoyogi 1-30-1",,Yoyogi,,2000,2300
"Otogibanashi, hitori TOMOVSKY, odotte bakari no kuni",2011-05-20,Indie,Fever,http://www.fever-popo.com,"Shin-daita building 1F, 1-1-14 Hanegi, Setagaya-ku",http://www.fever-popo.com/access/,Shimokitazawa,Shindaita,2500yen,2800yen
"Jimanica band set, FilFla, joseph nothing orchestra",2011-05-20,Electronic,O-Nest,http://www.shibuya-o.com/nest,"ON AIR WEST bldg. 6F, 2-3 Maruyama-cho, Shibuya-ku",,Shibuya,Shibuya,2500,3000
Maher Shalal Hash Baz,2011-05-20,Psych-Folk,High,http://www.koenji-high.com,4-30-1 Koenji-Minami,http://koenji-high.com/access/,Koenji,Koenji,2500円,2800円
"3x3: Marcos Fernandes, Keiko Higuchi, Ryusaku Ikezawa",2011-05-20,Improvised,velvetsun,http://www.velvetsun.jp,"Sunrize Bldg 1F, 3-47-21 Ogikubo, Suginami-ku",http://www.velvetsun.jp/about/,Ogikubo,Ogikubo,,2500+drink
